user_id,order_date,order_amount,product_category,channel,visit_count,page_view,add_to_cart,purchase_count
10001,2025-03-01,298.00,电子产品,搜索,12,45,3,1
10001,2025-03-05,59.90,日用品,搜索,8,30,2,1
10001,2025-03-12,0,家居用品,推荐,15,60,1,0
10002,2025-03-02,189.00,服装鞋帽,首页推荐,5,18,2,1
10002,2025-03-08,45.00,食品饮料,首页推荐,3,12,1,1
10002,2025-03-15,320.00,电子产品,搜索,7,25,3,1
10002,2025-03-22,0,服装鞋帽,首页推荐,10,40,1,0
10003,2025-03-03,0,日用品,促销活动,2,8,0,0
10003,2025-03-10,25.50,食品饮料,促销活动,1,5,0,1
10004,2025-03-01,899.00,电子产品,搜索,20,80,5,1
10004,2025-03-07,0,服装鞋帽,首页推荐,18,70,2,0
10004,2025-03-14,156.00,家居用品,搜索,22,90,4,1
10004,2025-03-20,0,日用品,推荐,15,55,1,0
10004,2025-03-28,420.00,电子产品,搜索,25,100,6,1
10005,2025-03-04,0,食品饮料,促销活动,1,3,0,0
10005,2025-03-11,0,日用品,促销活动,2,6,0,0
10006,2025-03-02,520.00,家居用品,首页推荐,10,38,4,1
10006,2025-03-09,0,服装鞋帽,首页推荐,8,30,2,0
10006,2025-03-16,89.90,食品饮料,推荐,12,45,3,1
10006,2025-03-25,230.00,电子产品,搜索,14,50,4,1
10007,2025-03-05,0,服装鞋帽,促销活动,3,10,0,0
10007,2025-03-15,0,日用品,促销活动,2,8,0,0
10008,2025-03-03,680.00,电子产品,搜索,16,65,5,1
10008,2025-03-10,0,家居用品,首页推荐,14,55,3,0
10008,2025-03-18,199.00,服装鞋帽,推荐,18,70,4,1
10008,2025-03-27,0,日用品,推荐,12,48,1,0
10009,2025-03-06,0,食品饮料,促销活动,1,4,0,0
10009,2025-03-20,0,日用品,促销活动,1,3,0,0
10010,2025-03-01,350.00,服装鞋帽,首页推荐,8,30,3,1
10010,2025-03-08,0,家居用品,首页推荐,6,22,1,0
10010,2025-03-16,78.00,食品饮料,推荐,9,35,2,1
10010,2025-03-24,560.00,电子产品,搜索,12,50,4,1
10011,2025-03-02,0,日用品,促销活动,2,6,0,0
10011,2025-03-12,0,食品饮料,促销活动,1,4,0,0
10011,2025-03-25,0,服装鞋帽,促销活动,1,2,0,0
10012,2025-03-04,450.00,电子产品,搜索,14,55,4,1
10012,2025-03-11,0,家居用品,推荐,12,48,2,0
10012,2025-03-19,128.00,日用品,搜索,15,60,3,1
10012,2025-03-28,0,服装鞋帽,首页推荐,10,40,1,0
10013,2025-03-05,0,食品饮料,促销活动,1,3,0,0
10013,2025-03-18,0,日用品,促销活动,2,7,0,0
10014,2025-03-06,780.00,电子产品,搜索,18,72,6,1
10014,2025-03-13,0,家居用品,首页推荐,15,60,3,0
10014,2025-03-20,210.00,服装鞋帽,推荐,20,80,5,1
10014,2025-03-27,0,日用品,推荐,12,48,2,0
10015,2025-03-07,0,食品饮料,促销活动,1,4,0,0
10015,2025-03-21,0,日用品,促销活动,1,2,0,0
10016,2025-03-02,290.00,家居用品,首页推荐,9,35,3,1
10016,2025-03-10,65.00,食品饮料,推荐,7,28,2,1
10016,2025-03-19,0,服装鞋帽,首页推荐,11,42,1,0
10016,2025-03-28,185.00,日用品,搜索,13,50,3,1
10017,2025-03-08,0,服装鞋帽,促销活动,2,6,1,0
10017,2025-03-22,0,食品饮料,促销活动,1,4,0,0
10018,2025-03-03,620.00,电子产品,搜索,17,68,5,1
10018,2025-03-10,0,家居用品,推荐,13,50,2,0
10018,2025-03-18,155.00,服装鞋帽,推荐,16,62,4,1
10018,2025-03-26,0,日用品,首页推荐,10,40,1,0
10019,2025-03-09,0,日用品,促销活动,1,3,0,0
10019,2025-03-23,0,食品饮料,促销活动,2,5,0,0
10020,2025-03-04,435.00,电子产品,搜索,12,48,4,1
10020,2025-03-12,0,家居用品,首页推荐,10,38,2,0
10020,2025-03-21,89.00,食品饮料,推荐,14,55,3,1
10020,2025-03-29,0,服装鞋帽,推荐,8,30,1,0
